ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-01-01,45.46201638,37.138913346614764,53.894547595763136,45.46201638,45.46201638,0.28001700880787694,0.28001700880787694,0.28001700880787694,-0.1377802654517067,-0.1377802654517067,-0.1377802654517067,0.4177972742595837,0.4177972742595837,0.4177972742595837,0.0,0.0,0.0,45.742033388807876
2020-01-02,45.46182263990689,37.62908319680864,54.86508369610418,45.46182263990689,45.46182263990689,0.3827244217853094,0.3827244217853094,0.3827244217853094,-0.08301648233945293,-0.08301648233945293,-0.08301648233945293,0.4657409041247623,0.4657409041247623,0.4657409041247623,0.0,0.0,0.0,45.844547061692204
2020-01-03,45.46162889981378,37.05258543251153,54.25549700984724,45.46162889981378,45.46162889981378,0.049784718434928696,0.049784718434928696,0.049784718434928696,-0.46345326816667115,-0.46345326816667115,-0.46345326816667115,0.5132379866015998,0.5132379866015998,0.5132379866015998,0.0,0.0,0.0,45.51141361824871
2020-01-04,45.46143515972067,36.963834895013164,53.43496788613988,45.46143515972067,45.46143515972067,0.16701019973595663,0.16701019973595663,0.16701019973595663,-0.3933697500220436,-0.3933697500220436,-0.3933697500220436,0.5603799497580002,0.5603799497580002,0.5603799497580002,0.0,0.0,0.0,45.62844535945663
2020-01-05,45.46124141962757,38.74030225927258,55.23926026012984,45.46124141962757,45.46124141962757,1.242421498119062,1.242421498119062,1.242421498119062,0.6352679616038164,0.6352679616038164,0.6352679616038164,0.6071535365152453,0.6071535365152453,0.6071535365152453,0.0,0.0,0.0,46.703662917746634
2020-01-06,45.46104767953446,38.19822725642499,54.495115495055394,45.46104767953446,45.46104767953446,0.8667248458222564,0.8667248458222564,0.8667248458222564,0.21329333042381884,0.21329333042381884,0.21329333042381884,0.6534315153984376,0.6534315153984376,0.6534315153984376,0.0,0.0,0.0,46.327772525356714
2020-01-07,45.46085393944135,38.36240047100404,54.849335287149955,45.46085393944135,45.46085393944135,0.9280255952099599,0.9280255952099599,0.9280255952099599,0.22905847395078127,0.22905847395078127,0.22905847395078127,0.6989671212591786,0.6989671212591786,0.6989671212591786,0.0,0.0,0.0,46.38887953465131
2020-01-08,45.46066019934824,38.07882375258083,53.93467548990565,45.46066019934824,45.46066019934824,0.6056121584937719,0.6056121584937719,0.6056121584937719,-0.13778026545263997,-0.13778026545263997,-0.13778026545263997,0.7433924239464119,0.7433924239464119,0.7433924239464119,0.0,0.0,0.0,46.06627235784201
2020-01-09,45.46046645925513,37.06731699256579,54.797830391200186,45.46046645925513,45.46046645925513,0.7032042410691647,0.7032042410691647,0.7032042410691647,-0.08301648234008151,-0.08301648234008151,-0.08301648234008151,0.7862207234092462,0.7862207234092462,0.7862207234092462,0.0,0.0,0.0,46.163670700324296
2020-01-10,45.46027271916202,37.29882727062971,54.0633620752102,45.46027271916202,45.46027271916202,0.3633996993917548,0.3633996993917548,0.3633996993917548,-0.4634532681672468,-0.4634532681672468,-0.4634532681672468,0.8268529675590016,0.8268529675590016,0.8268529675590016,0.0,0.0,0.0,45.82367241855378
